"State","Region","City","Purpose","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228"
"A","AA","AAA","Hol",2015.444457,514.3375998,532.0974702,534.0590832,505.2222719,412.7977166,528.7362028,539.6189162,512.5583724,476.2340912,676.2238067,355.7710892,1357.753331,312.2404399,269.2598498,503.1830981,563.5175753,285.7434339,642.4568038,393.0213994,506.1579191,675.9437179,407.4429129,495.1529508,1459.005973,421.1905183,746.6276349,455.8076021,438.4918703,371.0810078,511.6409866,512.3971207,1327.945226,1836.717278,606.4617396,430.0671352,1229.574554,381.9090103,281.8026719,938.6365079,309.5396993,462.9470461,442.5739839,270.3542228,518.9146611,648.3663166,379.760075,489.2132549,695.3456115,368.045399,528.3578755,474.4448619,346.1565998,448.9577166,587.1410326,356.2392323,401.9830909,653.0702227,411.8489238,445.7893952,794.318027,318.4361022,428.1911045,295.266088,364.6970383,446.5920104,420.3823714,346.9932004,279.2356064,612.8495539,449.396209,359.2138234,967.7544835,309.6226813,461.9711902,575.4365704,428.3207667,313.29745,594.7654733,349.033646,493.3791315,702.5614234,315.5684336,282.6793822,983.7844689,522.7466706,402.7783252,377.1326009,356.4332533,309.5763906,383.486796,296.3783679,375.9581948,453.4595443,420.1260579,297.2867808,1109.198716,436.213645,349.665635,594.442909,359.582681,508.961222,330.661181,472.00264,460.619082,537.451282,515.761087,465.860338,1312.626056,454.2913835,339.9117638,536.7155287,275.2366046,505.4227153,690.756111,435.5890059,335.1899146,607.690222,265.5277696,329.6353214,1372.439224,366.155374,427.7209294,669.3772728,359.6745977,469.4797233,731.4609236,527.6694598,495.3754251,414.5905726,482.1245234,433.800122,1194.398732,338.9645652,305.1470027,524.8319201,507.400617,257.1122195,395.6034,383.1148648,365.7506512,573.8822286,462.4421357,381.289743,1208.252985,600.559109,414.1746253,530.601307,247.1515905,560.5347485,428.7178667,424.1466039,435.6828085,572.9401322,518.8597789,484.1769496,1214.320156,379.0860827,341.7711408,804.3189781,392.5310641,380.8342184,549.3333599,346.2326786,246.1150372,434.8558231,387.0550001,380.7181521,1121.231999,413.4289147,390.155702,444.4122114,337.672338,415.8098346,397.6051861,406.4534907,578.4100774,447.306145,385.0679726,297.5763983,1309.64279,303.9589482,415.9959241,517.3055696,482.2917176,416.6691755,561.7835984,343.7426655,458.3708482,621.5111428,405.718434,496.8503262,1139.964819,401.3639446,483.7733145,553.7399456,440.97737,445.9617471,498.6959729,347.3772733,380.4433448,454.9619154,416.6717101,505.8438481,1241.771002,350.8072952,488.0649765,548.894199,517.8356467,558.2698852,412.2641573,424.1680508,485.2176138,613.954674,572.8421445,299.2605151,1040.991606,358.0915498,407.402452,511.7286827,482.610279,531.179298,636.639074,383.5262164,484.9599985,399.8676681,347.3370516,287.9626827
"A","AA","AAA","Vis",1379.273926,645.9808573,683.2845917,819.8076463,693.5317521,664.9238774,828.357876,706.5932942,684.9022889,1122.5636,709.4319467,983.9408337,1483.188287,574.1434201,1096.47017,1071.537593,706.6120114,580.5597339,636.3139158,968.8630014,695.9315439,821.9943339,1087.442586,815.6452832,1392.96886,501.4959941,557.374767,807.179156,728.5124231,742.4614433,775.3513401,551.080834,974.1998204,782.1437731,801.6249531,1124.521346,1588.128208,977.6443829,643.8125444,1158.565877,638.892269,695.2408861,1294.389916,810.2668363,689.1729589,687.4821652,633.1365938,912.9286715,1424.181919,470.8740427,759.4867622,1023.987193,888.0447316,568.4753445,760.311565,729.0384223,805.7570793,901.3743455,862.8640461,983.5713122,1310.746375,748.8393234,724.2351226,867.4524051,807.3368115,589.1279932,952.124327,595.0212269,786.9380722,596.8374634,690.5707834,1283.560593,1342.829268,533.4206598,934.0143438,1207.431491,626.44827,848.5548594,559.5809449,765.3874376,697.6027483,747.9407893,905.3790214,1030.073978,1159.588283,741.1260496,508.5688865,708.9334944,668.2697285,618.2333157,716.109466,727.3820112,638.2514147,628.3763819,635.6237374,1033.153501,1676.667538,653.989207,601.533119,962.692313,781.30821,746.775551,716.336568,456.564786,647.262775,809.067043,547.693877,1138.642036,1568.962323,570.5187574,716.3107351,834.9533061,734.3141453,578.1431699,598.3233927,567.3922925,406.2862165,1391.106328,800.5798574,735.3359108,1296.414176,620.8800956,710.4365662,672.0907175,657.8792908,693.6370411,621.4020765,564.9961192,508.5294041,562.5763994,508.0117927,868.6553175,1382.053174,566.3916443,582.4703314,775.2014311,627.462187,756.8816214,455.5547951,400.5172759,661.9646011,639.0109217,701.6208959,718.0415094,1446.26923,487.9307453,487.5214936,578.5929288,454.3740271,538.5786986,891.8419252,423.0457338,612.0758148,909.2798556,615.4695762,1005.114365,1147.556389,795.2578213,754.99965,542.3623823,722.556968,542.3418726,876.3802945,787.8427336,692.9968623,644.5146225,818.008402,832.9341578,1609.253129,518.6690274,1372.745255,767.2847425,785.1119719,653.9102229,1071.546668,521.4092154,593.9266969,774.1754148,549.9269146,855.3685972,816.2903921,551.5883383,776.475486,650.2515009,643.9362167,655.7881626,835.3107342,545.7039642,787.4140346,1040.933714,708.0944149,920.0482881,1640.107316,556.0888543,916.9178587,830.9073084,703.8494404,719.4991644,810.7576702,690.2899425,750.1232179,775.154891,720.3864687,867.8462423,1595.847895,825.5949998,801.3015317,1022.955923,828.6578618,671.19682,731.114608,692.2519783,754.0956734,809.802802,758.5828877,920.2711845,1380.935859,640.6702275,667.6892863,744.7566905,910.9089797,737.2266489,754.0806507,838.2696105,512.1902982,907.1972957,836.9585042,905.4328154
"A","AA","AAA","Bus",230.0995779,450.5098936,520.4582592,755.5068984,880.1523137,362.4639609,674.3345035,788.4915852,512.5458447,470.7639256,632.8666076,393.7358291,324.7551213,420.646331,450.3185634,589.3578883,500.4631493,542.4130487,529.9887976,508.125454,516.6297345,467.6757604,423.2574256,688.0420608,261.8546686,470.4860975,451.1826119,708.5650153,509.2605398,411.2791088,706.8999902,579.3574491,809.6842616,653.9538841,827.9830282,640.2944584,381.6409353,586.3558042,554.6404866,265.3533212,656.4862625,488.8336441,568.9216124,676.8089812,489.8819008,747.7064733,778.6051204,425.2169867,320.5061273,286.609185,423.818496,543.6090976,462.6387892,562.0709369,634.9740522,499.9163617,724.4672682,572.6873204,362.5911331,406.0851756,359.7232696,620.0695519,619.1726869,351.950623,508.1534467,565.8456294,512.4441927,509.4361197,490.6595107,445.8586968,405.2005483,580.0325407,388.3323797,606.8608599,397.6498937,440.8901277,486.093499,456.4504692,605.4832613,416.8638883,369.8710968,509.8433463,345.7279818,319.7964331,289.7629291,434.5392078,487.6847996,282.4518708,506.6459534,320.926903,657.3767801,502.779119,465.7297632,390.9110998,529.8064849,373.7764144,167.174387,389.372082,542.350656,405.073174,406.133471,509.66298,484.704059,548.804531,509.596971,555.25715,461.825944,324.744438,123.06036,515.6757606,563.5145829,415.7750234,379.2308538,381.9529332,504.0381017,469.7917056,368.5864675,530.0209109,381.8382495,410.0476092,347.8261709,348.5836681,447.2827754,399.7621025,445.6510621,347.654823,437.2900888,487.2007834,514.175689,455.4174703,431.6251405,217.7623631,172.8286263,271.6133193,286.4174848,254.6089789,423.2630283,385.9337173,369.7622826,335.0557308,393.2941591,621.692513,381.6002775,306.2771881,131.2480867,268.5646552,461.6040427,312.1490249,335.9052642,395.1175259,462.8553254,413.407365,591.4166859,425.301043,388.8307355,115.1685435,345.9350411,414.2076179,582.0668348,332.8095613,537.0690394,529.0097049,657.6563094,468.7771038,440.3228625,464.9820547,346.6756127,202.8259151,150.5407316,305.3606595,501.5942213,292.9829497,346.7248415,345.2226745,402.5201996,336.9178747,443.2005633,419.5374071,615.3374763,290.7225633,147.8396571,286.4594718,296.881591,361.6978478,539.7070144,281.8794679,681.0628843,528.8777892,326.2021581,576.1889424,594.4218592,287.0775411,218.5993833,324.8140334,384.9368223,380.9603544,374.094758,399.5224149,479.0265629,646.0996773,465.198705,709.0961341,497.3515862,803.3336782,178.3874181,426.2120374,513.2112894,373.886001,649.8365629,505.7075124,443.6266052,508.259971,473.8984318,504.8193927,707.1148263,439.756573,248.5930062,578.6553976,414.7058013,689.3381837,508.0361775,427.4367639,392.9749073,455.6375785,451.7429577,527.2553525,978.7937819,851.2086902
"A","AA","AAA","Oth",118.2381459,80.8360852,138.3065542,97.0898439,82.2107835,306.0818785,292.6157157,127.0711309,70.0377216,106.0398907,62.5007226,378.3941948,91.5433688,129.0454752,81.7857504,189.4118395,60.388715,52.8571349,103.5947824,134.0582418,74.5897065,184.1672504,183.8755391,250.8925669,96.094315,119.4036939,110.6696066,38.5168012,89.3726884,82.0026262,218.8707036,47.9718025,128.8626283,80.869083,344.8727093,283.3419931,77.79884,133.5781565,125.7408268,179.395253,284.883692,247.5116023,65.9993041,150.2543555,75.5360723,64.3232224,168.6388155,136.6842827,114.2180889,144.3794601,36.4288358,50.6644084,81.1251738,306.7383213,157.1709807,74.1563782,100.8128631,190.5014662,80.6455846,96.9833512,63.4282776,102.1786109,107.7921972,102.5626744,296.5019785,108.9630981,74.5973276,84.6001187,65.1748083,99.3105326,91.7956169,107.4813149,116.3072578,68.0496898,21.2181605,100.5052547,80.0613957,142.9605304,56.332498,42.949609,44.5913289,81.1840973,59.0854097,47.4010717,75.6152792,106.6077423,189.1547709,107.605836,96.4791211,133.2897016,105.9885203,88.8255538,117.6496488,158.2673461,174.1910309,147.5607329,308.458914,69.290757,498.175282,132.398466,68.248388,179.622379,98.32834,115.716081,132.854574,126.76011,199.827182,53.777368,239.8420175,67.2341395,47.777609,30.5860663,112.1472864,116.8982029,197.6698713,115.8916151,84.3932891,119.9136748,208.9797249,60.2126003,132.8113709,61.8389146,97.1901575,181.2862776,38.3952439,81.515579,185.9144974,115.0005827,66.4731228,78.8936216,133.9888938,113.6770408,49.1048432,78.4140525,100.5837219,80.5935141,112.4909305,49.195962,61.8671308,58.1767882,232.3095427,160.4015336,219.8307459,78.6034744,169.0129276,164.6085959,148.7585479,75.436464,140.880342,110.5222705,112.8867472,346.6644248,104.5526141,106.7070427,138.1534542,66.2596768,55.7544643,79.1536409,76.3780167,89.2897907,117.3946708,99.5143665,150.6227456,219.8872588,132.7401225,160.2911272,175.6964396,213.4896296,122.7928345,59.1701896,97.3435577,177.3633117,73.4713472,43.1261459,157.5152375,96.1644934,349.1459207,293.4961119,55.8521129,77.8878869,106.1908309,240.382846,192.1748374,114.3224406,150.1925094,45.2716433,112.9199332,263.955634,256.2856088,217.860502,188.6836512,123.8794751,112.9323648,75.2910572,156.2799969,71.9435265,113.4506093,234.8311443,146.1473046,124.4754468,137.5752652,121.7532656,264.7863674,90.1688208,62.935852,139.2622529,306.2175573,104.0859516,376.8646819,99.4593451,158.8258826,101.860769,362.2339951,146.7626114,122.4073365,100.5082075,135.0377979,79.4647076,130.8698948,151.7876399,138.9360877,231.4542701,174.4077549,458.0642409,194.2144721,102.5759844,386.7331331,227.7420518
"A","AA","AAB","Hol",936.2088158,139.8294614,117.9801749,202.2667241,121.7755259,95.5959438,123.8001301,84.9760216,7.8963224,78.9329728,81.5943725,282.2656224,455.1263049,219.2136612,102.5386863,124.3480275,132.4731435,191.4410314,98.6030801,78.0847524,107.8501134,112.69421,140.4760883,145.4679534,574.3818039,54.2584485,51.8093565,342.5663897,65.6102387,168.5604222,174.0592581,87.5432849,120.6398412,140.4108418,77.3372338,250.6765069,444.9394002,219.7494038,108.3609954,343.0363645,77.8344958,53.5277818,77.7783975,80.3375166,67.6042265,268.4628299,185.4740736,127.8184376,248.2280134,285.694276,84.6068738,134.0740363,83.5850953,76.3030111,66.5243451,72.2591153,56.6010034,157.9611432,198.6361352,237.8742423,592.0619078,175.2083624,216.0746554,298.2158635,74.0310396,68.0711385,147.7782759,48.5692173,81.7963985,150.3221417,124.7514112,160.669551,579.0070796,231.0075079,78.7037724,308.424174,163.6844714,67.6310819,130.4665545,103.9448703,45.5288205,92.5772972,104.7272589,116.3083005,539.0439992,100.0925484,114.2683218,128.934868,50.4690407,93.962778,56.3271801,128.4549214,93.1121892,167.8270813,91.7860633,128.452878,791.884372,195.349102,89.413764,246.454472,52.848636,147.049713,157.432877,85.695018,81.819482,213.183069,84.24271,145.378252,827.4693961,207.7022594,114.2149016,174.9167058,61.5836587,65.2743603,117.5597449,73.6711506,91.546292,203.0006398,137.9787361,162.7411111,714.9963525,166.0408055,166.298009,133.2756891,88.4522118,64.7687081,56.9496172,123.0287361,131.653348,121.1339002,148.664527,170.6036994,726.1445779,219.9570766,71.0218338,173.1879234,23.6612291,67.4077645,127.3681931,89.9190316,81.9394886,159.0736695,112.6674827,186.586067,510.2860229,131.3525879,100.7379676,188.847954,79.5120349,82.2072754,114.6663799,98.6187436,70.7872212,119.6895768,121.3620111,121.6997996,614.8885318,106.1507295,88.4147806,155.6492965,90.9625011,76.0629766,140.1737497,63.5637288,83.5519482,147.2957463,88.110691,165.1440225,638.5316742,204.4030632,92.9001383,102.6903354,95.7020157,82.3195899,110.588091,118.8344633,109.3630003,220.2702973,93.5504421,137.6115,514.267003,141.4588588,90.9758999,302.7580173,102.7796236,162.8557765,115.7972276,76.5127107,122.4058845,87.4551041,104.4698343,204.7447527,658.3739399,94.3320055,128.1176889,126.0673234,38.9425742,74.9223714,71.1771549,34.4007759,65.7213639,175.0525323,89.4491415,154.7488399,830.5287132,95.4105903,210.1801127,129.778815,30.9330524,94.992189,59.3442206,94.5424455,110.7652002,136.1314512,145.7214324,183.7699121,509.8507041,101.1738545,210.2566781,138.3195986,102.0652919,45.5110323,76.1990264,86.2810719,120.4654886,201.4003425,76.9614038,155.903481
"A","AA","AAB","Vis",297.9446879,96.0725295,97.1131208,196.414355,73.5427676,87.6049991,115.5893319,148.2740199,23.5651609,126.8777268,83.1245841,50.4269919,277.0893859,105.6443019,111.5002193,103.5502585,96.8982586,171.52067,146.539882,49.7069519,72.1464502,109.8150151,118.0717963,272.6260901,144.4697888,115.6772078,55.8427997,130.2932097,104.7154486,34.2728628,74.6010921,102.903469,68.2099317,182.7996964,111.2200182,208.6071022,209.5472192,123.0728596,33.7717748,205.8120929,60.1311595,76.4101028,132.4587252,49.4126883,117.5185192,81.2498443,64.1559627,86.7249674,184.3527789,170.5123252,152.7220272,104.5893037,80.7286951,54.1747715,216.1247064,157.0380052,83.9432475,182.1564218,129.2201458,297.2528844,135.5888315,193.6497429,62.1691385,137.8201156,66.6772332,253.0803759,147.2278286,192.4559144,124.7912338,100.3083315,112.6236165,187.0400756,273.7063655,117.6723142,106.6528143,191.1135524,154.3645733,106.4067197,142.1949175,114.5338235,212.2966199,100.361832,84.474748,242.8075752,249.3530669,88.4063189,76.4719227,80.2644638,76.7984804,83.1479518,45.6291965,140.3149329,69.115045,115.1274105,161.281139,123.1493043,323.086404,85.989618,132.425769,165.000838,79.122452,152.034654,122.717683,145.267822,129.554534,85.837174,178.311524,93.539258,201.9950891,41.293656,53.2123476,133.8165221,99.2089304,116.128756,87.5779879,62.1650006,117.1153279,186.0321221,54.6884606,156.1209095,316.6978305,53.468676,156.5239704,137.5415098,50.3429124,75.9176167,126.8815319,62.2659907,58.1795678,119.2342431,109.5459276,110.1911342,179.2027201,71.5213139,59.2974142,87.8378221,134.5927734,91.0431668,42.8111626,87.7063463,89.3361171,77.9605411,121.0707683,256.8180987,151.4633323,71.2258495,102.3334988,73.6522618,72.6598658,45.1183184,241.1570736,79.4582088,147.6652848,74.4933111,235.4027454,146.2146368,227.1429906,165.9324382,92.6995579,112.3706935,109.7730196,104.5373786,78.56538,111.5990456,43.1788403,64.0049843,44.6856831,253.5747994,187.650403,53.6994009,108.3903786,97.5618693,118.3008891,60.1167157,111.6489562,126.5580089,61.8091182,218.3187772,100.2944272,148.3986564,183.8981317,35.11739,34.5891797,125.8194804,60.3170145,82.0712619,87.1327351,68.912517,85.3155217,185.0669697,102.2989012,183.2152798,256.7736887,128.6988895,169.0660448,158.3768739,100.0691584,169.6110558,60.4043225,92.2635475,141.833474,66.016183,122.1657157,222.880881,308.77475,171.7638614,85.2099034,91.5856817,63.0954934,135.5269415,62.5384767,125.3462394,83.7124793,95.3536108,94.1406642,120.91006,187.1581407,122.8953338,74.8241664,58.8067056,198.5371872,74.3441603,113.7609408,83.870793,46.1290818,118.0330704,139.9869288,221.231957
"A","AA","AAB","Bus",0,3.8006465,28.43168,10.8129146,12.1854184,6.3843453,41.4776371,11.0448663,16.1288684,4.2841712,33.3068884,17.8217692,36.7040753,14.3541568,3.2277387,4.1029118,8.9839008,28.3805663,0,5.3901005,32.7332849,2.2959975,22.7097856,4.6821024,0,11.6333728,4.4285368,5.0147154,9.8675952,1.8704252,2.8788491,10.651754,3.6795624,2.5957702,26.7079309,11.6970846,37.0963922,13.2550658,19.5282507,27.5412622,0,8.3171355,8.66949,3.1027854,30.7808754,26.5712342,27.4857451,0,0,29.5652588,3.4824888,26.8811805,37.4068204,8.1462566,49.654162,19.5150494,15.0910614,1.682575,4.806834,4.9699365,2.233296,2.1880071,7.6218897,48.5088535,17.2783758,13.6573464,28.7067359,8.8893092,26.3724189,0,7.6829024,32.8660734,142.2092784,47.1946917,4.2730747,45.1742143,32.6174003,0,21.5791908,12.0545232,11.829611,8.0584102,3.2037494,80.091346,35.7652334,16.3698905,4.1179315,7.163338,24.7332,14.3387379,24.2260887,0,16.1521409,0,8.9401861,18.4321753,21.195213,15.950943,17.867115,31.213826,14.368227,6.820464,4.964852,17.075778,14.282899,24.88459,3.058129,70.333464,3.444513,6.5981704,45.3941559,70.8773349,27.1035509,11.3350546,7.0112978,15.8347915,25.4277244,27.9923034,6.7892452,9.2544833,10.7275403,5.5506222,5.7692799,8.2681176,0,22.1957851,0,13.2141634,48.7358326,1.6161104,5.4369351,0,66.1026787,12.096488,16.6764347,7.6822751,1.4288415,4.1658984,6.4169742,5.8720531,6.2792416,17.4946615,4.2423199,0.7554561,14.9971517,21.0854832,13.9686039,0,12.9752035,5.5659581,0,0,0,1.6647014,0,18.0086265,17.5982443,1.5856987,1.2751594,44.4510392,7.9738355,0,4.6633686,17.1474163,18.5384674,13.8986372,0,16.8055963,1.9772247,1.6785953,1.6891125,0,26.3923231,16.8955623,5.2564606,41.260557,1.9507973,5.5038677,0,0,1.4968157,0,525.2269896,43.076518,0,5.6839521,11.6676949,0.6700902,0,16.4960606,13.0199064,0,3.6401598,0,11.9771288,19.1393385,0.836084,0,1.4646954,4.0370244,53.0065176,0,0,22.2287789,2.3534026,13.1556116,32.333215,25.3905901,49.2026506,33.0192482,3.0522035,19.2582801,99.3173441,28.5539495,46.2444352,42.9173506,0,11.1044446,17.1128474,11.6719181,2.451953,13.7885803,1.3384205,0,251.5443157,6.4571491,10.6748863,21.8206599
"A","AA","AAB","Oth",0,5.8625378,0,0,24.5246784,0,5.1839034,0,7.0119788,0,0,0,0,27.4395776,0,0,3.4308529,0,0,0,8.293544,15.7151054,0,0,48.2251826,0,0,22.3904859,6.2452572,18.10805,2.1118423,7.4776546,0,0,0,89.8088221,41.621092,7.3639255,0,0,0,0,0,0,0,10.672171,34.4486492,2.7367303,24.0085845,4.3410461,6.8295259,0,0,19.8139757,0,4.1566336,3.2100349,10.3037607,0,0,0,0,0,16.8330332,0,16.481899,0,6.5399496,11.825205,0,0,0,0,10.1120747,0,0,0,0,0,0,0,2.3083701,0,2.6001307,4.6490676,6.4697353,20.7440945,18.9058392,5.6177924,0,5.0063745,0.6296268,0,2.2215906,15.8664296,4.2921098,0,20.463666,0,4.753103,0,0,0,0.351295,0,8.639023,9.228899,2.858846,116.8562313,0.7263666,9.5334171,23.3420827,9.9630293,5.527181,7.995845,0,12.942502,0,13.7122835,0,4.9948177,1.038406,10.5416519,0,0,0,2.6899608,0,0,0,1.9483538,1.5450736,2.7780545,0,0,0,1.6016013,0,0,16.3697758,18.6920497,0,3.3921359,5.4900449,7.7452487,11.3466928,0,0,0,3.3794372,2.3552971,3.0851252,7.3601105,6.6588057,34.1627327,0,37.4218593,4.8477481,44.7938874,6.1744862,1.4126028,5.0122999,8.0680269,1.6962041,16.0589938,56.7451473,10.9977432,0,7.8675622,1.545413,0,1.6267801,0,0,0,0,0,24.620433,0,0,0,1.9974966,0,45.8354925,4.9314354,0,5.482739,32.0581756,5.0887676,3.4844741,0,1.2190895,15.5178255,2.3622487,6.1896164,4.2576848,4.3219331,14.1521937,24.403208,0,0,4.3283637,11.3315139,1.2974517,3.0042527,1.9529503,12.994069,29.6747902,35.6845344,7.4222783,2.4584799,12.1745758,32.7287632,0,34.6962797,0,5.3468761,0,5.9607323,6.8543433,58.2802048,0,1.2399177,0,0,4.387921,8.8344266,5.1572104
"A","AB","ABA","Hol",915.5266146,211.0010567,227.4587979,1273.068333,259.5416747,248.7401542,207.7613705,191.0329008,120.7987194,251.0237642,270.7764277,136.1956609,849.2987397,236.6324859,198.14501,539.5217434,275.2761935,119.1625524,159.7034835,210.0363424,170.2590335,480.5777776,189.4959781,239.4549211,770.68709,208.3417634,174.4986607,443.2110595,32.6935108,275.3350309,141.8445996,310.8133657,258.6026934,329.3005241,356.1736752,454.2446767,693.0982785,348.5106386,227.2237312,421.9200518,279.6051391,207.784731,232.6809137,221.8586608,335.295337,407.7627842,177.4753771,396.280914,1030.743102,232.6489312,207.3761123,423.4502824,264.555553,220.7051604,368.8303293,269.7095867,191.2242357,435.6845368,241.3690536,246.6308126,795.9069001,249.4820965,402.2989057,565.4796491,268.1790485,215.9366891,222.8001704,246.4506051,261.6005361,370.6039802,256.5619992,172.921653,630.8858395,183.3854116,283.343798,399.4904571,234.3978132,169.0415396,221.9918929,229.3931014,201.2949112,247.2512416,316.2317888,155.9465036,786.5080295,407.5003343,411.6172287,378.6861438,282.8665969,226.9552977,302.1706561,132.7146923,237.4904364,358.0092141,219.412536,190.9205788,985.277903,226.83489,210.078651,524.185935,172.06031,301.537993,252.727315,163.616207,172.29289,339.517244,160.569267,263.395435,841.0692448,329.4861215,509.6775586,462.2764624,320.2445737,255.9861204,213.0358001,212.55571,251.9547862,275.2798512,272.3699085,328.0523402,925.4763171,327.0630024,452.2295682,354.2217261,226.4453879,176.5160349,252.1644309,142.4909242,192.7314316,332.0684821,282.9055089,288.3009587,743.7692752,176.6224154,326.9759757,279.6877861,298.8432673,157.9971986,254.8570792,261.0030087,201.9805367,418.8684025,305.7219103,342.5723303,639.8079473,265.9789489,310.0524299,332.1866329,241.2327716,235.1126709,290.4544748,284.4350003,258.5197857,233.311857,231.8290417,255.7796028,883.4022451,360.1536302,260.4620628,446.5284432,187.2004622,241.1242001,186.1562257,165.9906619,255.2018587,311.6464258,218.3515781,224.4677134,752.3604492,239.4633008,245.3600186,477.3710063,173.2925249,171.5040707,204.7013732,169.1904011,194.0877906,267.674614,248.6581823,308.9942685,476.690939,335.6135818,240.6733421,604.9989595,207.4351768,154.2687479,265.7592998,239.3924882,275.9776809,347.7541482,201.3425901,162.2074032,692.376914,125.8289915,230.0081545,392.5748392,225.6095814,269.0215553,283.8519302,207.3603684,241.6305312,411.1005271,244.3227873,271.5415169,709.1769852,151.04134,407.8996372,410.0592693,172.8214189,273.2756017,152.2768034,216.7719561,176.1121113,284.4983141,306.6241945,245.3143289,657.0045098,224.1886092,388.4281286,383.3780239,251.7775219,182.9592234,264.6885243,228.048826,181.8930203,444.169346,324.5852244,330.7388355
"A","AB","ABA","Vis",361.1611221,346.1513978,185.6514505,265.9809728,169.0858461,173.1654137,311.6938888,166.0793269,276.2324075,143.2349297,212.3122853,301.0066756,412.6253584,224.8481865,216.136774,196.4023273,203.2007755,247.3563075,268.2725345,127.688526,201.1612351,260.24594,567.6520691,168.193474,318.2982946,189.4710129,192.7978358,273.9056674,227.7267439,226.5515272,231.8303334,233.1443412,338.3498584,154.3863798,192.9702039,398.0964403,255.2701832,188.5337457,88.1472288,217.3292192,134.1237375,249.2072797,289.7516016,167.9747641,133.6651298,128.108918,152.731302,174.3208527,514.6323289,182.7015724,164.0976005,253.4929162,258.0831026,187.3631002,155.7971332,439.1209107,150.3911009,227.2320691,141.4424086,335.9531799,291.7864397,133.9487959,271.2648,278.3492099,113.9189858,146.1759238,188.8626697,179.0595713,236.6702841,171.8288222,113.2743371,331.7942264,869.5367813,164.543558,153.6020473,309.8012174,218.3389203,236.1128469,243.7668427,236.1175649,68.1053251,201.0461421,137.4347543,183.8372921,388.5830073,254.7250889,137.5691317,280.6158703,173.6358669,149.009588,266.6761105,255.2219555,122.2810767,251.2419967,160.0860769,334.4658694,556.845465,154.158749,194.877582,275.159764,137.265397,242.62665,318.85173,169.236372,187.998901,248.044306,150.211247,325.645063,467.3024721,146.545375,192.5087143,257.6800346,276.3021294,241.5340199,286.3343824,110.2629722,648.0848863,264.8755083,192.8008519,382.967767,332.7859999,197.2972807,273.0057208,197.6965253,336.7973336,125.3728073,205.1009526,269.760284,272.6392975,188.0294015,180.5541289,154.4268988,232.1000678,111.3789944,344.2459594,181.3556298,176.9476068,138.9851866,237.7928035,242.0961843,184.898715,353.5734374,253.0939607,304.6333795,450.0430512,196.8128036,185.263776,256.7145943,162.6911174,183.285339,220.2841603,230.3665239,217.1102325,131.2754805,178.4162604,212.7344478,416.942471,132.2702173,163.2227168,166.2500549,185.6861521,255.8384124,173.2917034,181.8824645,128.2634229,173.0124346,217.2236187,521.0772963,442.8729314,177.8810762,100.9623116,170.2507172,146.9762293,199.357258,205.5779012,199.7844297,249.3890303,264.593888,266.4677638,286.2976047,446.8846957,117.1000214,183.9127398,187.4525044,176.7117427,141.2435875,236.2484123,210.1986736,185.6077368,248.8213996,219.3513004,238.8441361,573.4774147,204.5618384,162.0911395,238.3165482,158.3809275,310.1185239,253.5246703,258.8159806,182.0192459,245.9516301,235.4763981,400.3701877,408.0445005,238.4741555,333.0740995,201.5777291,249.1534735,186.7593662,195.1560363,252.8050638,233.0389521,232.2539101,262.5852404,357.6912533,354.3176582,252.0673603,259.808265,350.9240917,218.0171797,135.2345364,352.4376427,243.1602995,333.526684,229.7216378,217.7132924,277.5573513
